session_id,phonetic_transcription,language_classification
"fv600346","mard@erst@stutd@rE+kswAxt@rzdib@G@lE+d@nd@waG@nswarInkonINInfAbijolAEnokprInslorA~okxrothErtOxjAnEn@Zoz@finSArlOtfAnlYks@mbYrxprInsEsAstrIdEnprInslor@nzEnd@zYst@rzEnd@brurvAnd@brY+tdizE+nhirwElvorbE+G@red@","VL"
"fv600346","d@twed@GrupIsnOxnitaNG@kom@","VL"
"fv600346","@mw@hEb@tOxwElwAt@rejAksisf@rzam@lt@nantAlrwAjAlIst@nY+t@rartmarm@sxintOxokwElwAtx@wonniwsxir@G@mEns@","VL"
"fv600355","IstOxwElok@nhelY+tsOnd@rl@kmomEnt","VL"
"fv600355","@tbrY+tsparheftnyzElf@nG@bEtklar","VL"
"fv600355","In@tfrans@@vAnprInsfilip","VL"
"fv600355","@tIs@ntEkstvAnfrAnsIskysfAnAsiz@s","VL"
"fv600373","Guj@mOrG@nwElkOmbE+d@zev@nd@dAx","VL"
"fv600373","h@tf@rhalov@rh@tpOld@rdOrbdulIsbE+naY+thuhArtstOxt@l@gd@vorvExt@rshirvor@G@wekokG@plE+thEb@","VL"
"fv600373","divAnAGAlEfwIld@vor@G@weknitkom@Omh@tdOsjemAksimal@kAns@t@Gev@mar@tIsY+tstElvAnEksekysiG@wOrd@","VL"
"fv600373","strAkskOmtmik@voG@lsdAntOxInd@zyr@Ap@lbE+t@","VL"
"fv600373","Endad@l@kokfed@ralmInIst@rluwimiSElEnvlamsmInIst@rjohAnsA+@sbE+Ons","VL"
"fv600373","miSElEnsA+@slat@zIxInGEld@nak@EmbIlz@AlsbYrG@mest@rv@rvAN@pr@sisOmdAts@minist@rzE+n","VL"
"fv600373","Guj@mOrG@n","VL"
"fv600373","m@nermiSElIgb@GInbE+y","VL"
"fv600373","wElkE+kdAdIz@nwEtsforstEldiwE+AlInG@dindEb@v@rsxIl@nd@jar@G@led@n","VL"
"fv600373","wE+dENk@ndAd@dE+G@l@k@nv@rbet@rINIsfAn@ddemokratisprosEs","VL"
"fv600373","@tIsE+G@l@kd@b@lANrE+kst@fiGyrvAn@G@ment@","VL"
"fv600373","dAdIswElvAmb@lAN","VL"
"fv600373","End@rExstreks@b@trEkIN@ntYs@d@bYrG@mest@rEnd@b@vOlkINzE+nokG@wonl@kvAnhoGzdb@lAN","VL"
"fv600373","z@dYs@vIndIgdAtwEl@nv@rbet@rIN","VL"
"fv600373","jA","VL"
"fv600373","@d@vOlksyni@plE+t@darokAl@ntE+tforhE","VL"
"fv600373","marzAld@popylE:rst@ogd@bEst@zE+nm@nersA+@s","VL"
"fv600373","jaIkIkhordib@mErkINokd@vorbE+@daG@","VL"
"fv600373","IgdENktAtyd@kiz@rnitmutOnd@rsxAt@","VL"
"fv600373","m","VL"
"fv600373","IkEb@tsElfmeG@maktOpb@paltoG@mblIkdAtwE+vAnY+t@@nmerd@rE+t@@n@nenOrm@v@rkizINzov@rwInIN@hAd@G@buktmardAt@r@nAntikowAlisitOtstAntkwAmwardor@@rEnwE+IndOpozisit@rExtkwam@","VL"
"fv600373","m","VL"
"fv600373","zA+dAtnitmermoG@l@ksE+ndAn","VL"
"fv600373","tOxmujl@k@rG@makt","VL"
"fv600373","IksA+d@vraxwIl@Omdraj@nE+G@l@k","VL"
"fv600373","Izd@mInstpOpylE:rst@mAnIn@NG@ment@@d@bEst@mbYrG@mest@r","VL"
"fv600373","matIswarE","VL"
"fv600373","jA","VL"
"fv600373","EndAmutsoblE+v@","VL"
"fv600373","jam@sxin@In@db@GInvAnzo@nsistemzAlm@sxinswE+n@xf@rAnd@r@n","VL"
"fv600373","dAdAdIshelmoG@l@k","VL"
"fv600373","marlANzam@rAntsAldAwElInvludEb@","VL"
"fv600373","@dAtf@rmE+tnAtyrl@k@koAlisisteG@d@stErkst@","VL"
"fv600373","neEnEndAnmInd@rsevepebYrG@mest@rzInvland@r@","VL"
"fv600373","jA","VL"
"fv600373","dYz@dAtklOpthel@malnitne","VL"
"fv600373","jA","VL"
"fv600373","tsA+kYn@dAtfilipd@wInt@r@bYrG@mest@rwOrtInAntwErp@dAn","VL"
"fv600373","@m","VL"
"fv600373","wAtwElEsEnsjelIzdAtbYrG@mest@rstanitAlen","VL"
"fv600373","E+statfor@NGrup","VL"
"fv600373","E+statfor@mproGrAmA","VL"
"fv600373","jA","VL"
"fv600373","@mAs@k@txudb@Grep@nEpm@nermiSElkom@d@rdAntwestEmrOnd@s","VL"
"fv600373","dAdIstOxdyrd@rOmslAxt@G@r","VL"
"fv600373","mut@w@twekernad@stEmbys","VL"
"fv600373","mEns@vInd@dAtAlnitsoprEt@xE","VL"
"fv600373","jakE+kso@sistemzo@sistemb@statIn@dbY+t@lAnt","VL"
"fv600373","sodys@@dAtdAtmAxOnsnistOp@n","VL"
"fv600373","ja","VL"
"fv600373","tIsxenOnov@rkom@l@kArGymEnt","VL"
"fv600373","@mylatsIxnyv@rvAN@ImbIlz@OmdAtyminist@rbEnt","VL"
"fv600373","dAtsA+nitmerkYn@nEm@nersA+@s","VL"
"fv600373","nen","VL"
"fv600373","dAdIzOp@OpsIxok@oknid@tprOblem","VL"
"fv600373","IkEbogb@Grep@dAd@tsistemstArt@dYsnitnitny@mvAnAftwedY+z@ntEnenmarwElzEsjarlat@r","VL"
"fv600373","ne","VL"
"fv600373","@md@modAlitE+t@n","VL"
"fv600373","wAdb@dultydarme","VL"
"fv600373","dAndAnwOrtywerbYrG@mest@r","VL"
"fv600373","nen","VL"
"fv600373","@IkAtwEl@","VL"
"fv600373","m@sxin@nvraxwAnerwAnerzA+d@w@dItkYn@dun","VL"
"fv600373","for@tflamspArl@mEntIzd@erst@minist@rvAnvland@r@vorzIt@rvAnd@rat@","VL"
"fv600373","ja","VL"
"fv600373","marzAldAtd@Y+twErkINzE+nvAn@tniw@sistem","VL"
"fv600373","dAdisdAdisenvAnd@moG@l@ked@n","VL"
"fv600373","dAdIdAtkAnja","VL"
"fv600373","dAdIzel@malmoG@l@kja","VL"
"fv600373","ja","VL"
"fv600373","dAmut@wE+nOx@Ond@rhAnd@l@n","VL"
"fv600373","dAdAtsAlwElkom@n","VL"
"fv600373","jA@dAtsAlkom@dez@leGislAtyr","VL"
"fv600373","ja","VL"
"fv600373","dAtkAndAtkAnAlzd@vorward@InG@vYltsE+nja","VL"
"fv600373","ja","VL"
"fv600373","jA","VL"
"fv600373","mIsty@dbYrG@mest@rsxApE+G@l@km@nersA+@s","VL"
"fv600373","jaE+G@l@ktOxwEl","VL"
"fv600373","ja","VL"
"fv600373","En@sprek@mEns@ynOxanAlzOvyd@bYrG@mest@rbEntm@nermiSEl","VL"
"fv600373","jadAwElind@rdat","VL"
"fv600373","ja","VL"
"fv600373","marIgbEndarAlzerlANbYrG@mest@r","VL"
"fv600373","zodyskEn@d@mEns@mE+Gut","VL"
"fv600373","ja","VL"
"fv600373","sE+kom@dIGdbE+mE+","VL"
"fv600373","jA","VL"
"fv600373","zE+kom@mE+AlYnlev@v@rtEl@nEn@EnIkprOberz@id@r@kert@hElp@nAtyrl@k","VL"
"fv600373","yhElpts@nOxja","VL"
"fv600373","jaIkElps@nAtyrl@knOx","VL"
"fv600373","jA","VL"
"fv600373","@IkAlsx@bYrG@mest@rG@wezdbEntkYntydAniv@rGet@","VL"
"fv600373","dAdIzE+G@l@gd@d@mest@vOldund@@@","VL"
"fv600373","EnwAtfIntyv@rvAN@rdarvAn","VL"
"fv600373","wAntdAnbEntyE+G@l@gd@Ext@bYrG@mest@rwOrtyniExtf@rvAN@n","VL"
"fv600373","nedAnidAninenene","VL"
"fv600373","mamaIkEp@nzerGuj@v@rvAN@r","VL"
"fv600373","jA","VL"
"fv600373","@mwiIsbE+yd@Ext@bYrG@mest@rImbIlz@n","VL"
"fv600373","m@nersA+@zOvyv@rvAN@r","VL"
"fv600373","EndAtwIlIktOGb@nadrYk@","VL"
"fv600373","@txadOmd@GAns@Grup","VL"
"fv600373","@h@","VL"
"fv600373","EndAblE+ftInd@demokrAsihelb@lAN@rE+k","VL"
"fv600373","ja","VL"
"fv600373","hEptynOx@NkAntorOptx@ment@nY+s","VL"
"fv600373","jA","VL"
"fv600373","Eny","VL"
"fv600373","jaIkok","VL"
"fv600373","jA","VL"
"fv600373","b@dANkt","VL"
"fn001039","tAnt@tIN@lE+nIsfErlift","NL"
"fn001039","hE+mudnyE+nl@kmarenswet@hulifIkhEmvInt","NL"
"fn001039","s@b@GIntm@tenhArtOpfOrd@spiG@lt@uf@n@","NL"
"fn001039","bEst@m@nerbOl@mAns","NL"
"fn001039","IkfIntyzoard@x","NL"
"fn001039","tAnt@tIN@lE+nsYxtenstip","NL"
"fn001039","nedENkts@dAtIsnIks","NL"
"fn001039","@tklINktsostOm","NL"
"fn001039","mIsxinkAnIkhEmbet@r@mbrifj@sxrE+v@","NL"
"fn001039","pAkt@npEnEnsxrE+ft","NL"
"fn001039","bEst@m@nerbOl@mAns","NL"
"fn001039","tAnt@sxYtharhoft","NL"
"fn001039","tAdbEst@Isnidl2k","NL"
"fn001039","z@sx2rt@dblatj@AfmaktEr@mprOpfAnEnb@GIntObniw","NL"
"fn001039","liv@m@nerbOl@mAns","NL"
"fn001039","wAtmutIgdarnA+tOxandun","NL"
"fn001039","tAnt@tIN@lE+nsYxt","NL"
"fn001039","tAtIsokAlnitxut","NL"
"fn001039","nedENkts@","NL"
"fn001039","OfIkrupdAthE+zonen@G@tY+nheft","NL"
"fn001039","nA+ja","NL"
"fn001039","dAnvraxIk@tx@won","NL"
"fn001039","tAnt@tIN@lE+ntrEktharmojst@jYr@kanbOrstEltharharEndutwAtpud@rOpharx@zIxt","NL"
"fn001039","z@kE+ktnOxeNkerInd@spiG@lfors@d2rY+txat","NL"
"fn001039","kOmOp","NL"
"fn001039","nitbANzE+n","NL"
"fn001039","hE+zAlj@h2snitOpet@","NL"
"fn001039","@nbetj@bIb@r@xlopttAnt@tIN@lE+nnard@sxyrOmharfitst@pAk@","NL"
"fn001039","EndAnxats@OpwEx","NL"
"fn001039","dINdON","NL"
"fn001039","klINktd@bEl","NL"
"fn001039","mardAnxatd@vord2rop@","NL"
"fn001039","tAnt@tIN@lE+n","NL"
"fn001039","sExtm@nerbOl@mAnsfErbast","NL"
"fn001039","wAtkAnIkforydun","NL"
"fn001039","@","NL"
"fn001039","IkwA+","NL"
"fn001039","zA+ym@sxin","NL"
"fn001039","m@nerbOl@mAnslAxt@nbetj@fErleG@n","NL"
"fn001039","kOmtybIn@","NL"
"fn001039","zExthE+","NL"
"fn001039","xrax","NL"
"fn001039","Erstanmar@mparstul@@ntaf@lEn@mbANk","NL"
"fn001039","xatyzIt@n","NL"
"fn001039","zExtm@nerbOl@mAns","NL"
"fn001039","IkzAl@NkOpj@tehal@","NL"
"fn001039","tuvAl@xhEp@knEtx@zEt","NL"
"fn001039","zo","NL"
"fn001039","v@rtElnymarenswAt@rand@hAntIs","NL"
"fn001039","b@loftym@dAtynitxatlAx@","NL"
"fn001039","vraxts@bAN","NL"
"fn001039","m@nerbOl@mAnskE+kttAnt@vErbastan","NL"
"fn001039","dAtb@lofIk","NL"
"fn001039","sExthE+dAn","NL"
"fn001039","nnnA+","NL"
"fn001039","dAnmut@tmar","NL"
"fv600386","End@nab@stand@vAnd@A+t2rkYn@h@tnithEb@dAts@IntiltstYk@hEb@wEx@lat@En@nvrA+@l@kpErsOnaZ@hEb@bIn@G@smOk@lt","VL"
"fv600386","johAntil@mAnsov@rd@vrE+hE+tvAnd@reGis2r","VL"
"fv600386","@twAswerprE+zdez@wek","VL"
"fv600386","darOmGentulatINmerOm@tstYkOpt@vur@n","VL"
"fv600386","d@tEkstmuthE+l@xsE+n","VL"
"fv600386","d@tEkstm@nerdarduj@j@hutvorAf","VL"
"fv600386","wElIkmudb@kEn@dAtIkdarmenithel@malAkortxa","VL"
"fv600386","vormE+mAxhAml@tG@speltwOrd@dor@nvrA+","VL"
"fv600386","zE+n@rdAnnErG@srEm@","VL"
"fv600386","nAtyrl@kdAtx@b2rtnOGAlIs","VL"
"fv600386","IksExsomarwAt","VL"
"fv600386","huvakEpIknitx@dAxt","VL"
"fv600386","wAntsOmswOrt@tt@norlOx","VL"
"fv600386","wElIgbEnOnvorward@l@kfort@norlOx","VL"
"fv600386","jAAl@malGutEnwElhorIkyzEG@marSekspi@rIzAljar@dot","VL"
"fv600386","mE+npYntIsdotOflev@ntdAtmaktxenv@rsxIl","VL"
"fv600386","IkmutnAtyrl@k@nzwarwIxt@G@vraxstEl@","VL"
"fv600386","Ind@neG@tind@ewtuntejat@rstYk@sxrE+v@@nExt@stilwErthAd@d@sxrE+v@rz@mprOblem","VL"
"fv600386","dAtwAsOnrExtfard@xfOnd@z@","VL"
"fv600386","z@kOnd@nydel@Ind@wInst","VL"
"fv600386","d@tOnelsxrE+v@rdets@nIntred@Ind@kApitAlistis@matsxApE+war@twortb@zIt@nhE+l@xwortIs","VL"
"fv600386","EndraGIN@dnidOmd@ObrENstmarOmd@word@zElf","VL"
"fv600386","AlsimAnt@nwortwIld@v@rAnd@r@@ndekO:rwE+z@G@@nrOlsxrAp@dAnklONk@thisterisvAnmE+vAnmE+hAnd@nAf","VL"
"fv600386","@twortwAz@mb@zItdAtf@rded@xtwErtAlzd@latst@bAkstenvAn@tE+G@hY+s","VL"
"fv600386","zookOnz@Guj@A+@sEmyw@lbEk@t","VL"
"fv600386","nemnydAtstYkwejtINfO:rgodo","VL"
"fv600386","Obd@byn@stat@nbomsxrefsEmyw@l","VL"
"fv600386","GenOpfurINzOnd@rbom","VL"
"fv600386","wizIxnitwIld@sxIk@dikrex@mboz@brif","VL"
"fv600386","GenbomGenOpfurIN","VL"
"fv600386","@ntEkstIzidzdAtj@makt","VL"
"fv600386","j@dud@rj@Y+t@rst@bEstfordAtsprektmarAlsj@Emop@mbarmaktdAnGefj@hEmwEx","VL"
"fv600386","E+Gats@nE+G@lev@lE+d@","VL"
"fv600386","En@rkYn@wOnd@rl@k@dIN@meG@b2r@","VL"
"fv600386","latIk@tsozEG@ov@rOnsElfsE+nw@AltE+d@mbetj@blInt","VL"
"fv600386","darheftOnslIxtov@rG@sxen@","VL"
"fv600386","mar@tlIxtfAn@nAnd@rkAnInOnz@word@Onv@rmud@huk@ENkAnt@OndEk@","VL"
"fv600386","EndarOmGanw@zovel@mal@kE+k@narSekspirEntSExof","VL"
"fv600386","EnbEkEtslImAlziwAswAst@E+d@lOmtut@Gev@dAtE+GenY+tsOnd@rINObd@reG@lwAs","VL"
"fv600386","nen","VL"
"fv600386","@ntEkstIz@nObjEkt","VL"
"fv600386","v@rbeldINIzrE+kOnvorspElbarEnvrE+","VL"
"fv600386","EnAlskyltyrmEnsmutj@Elk@b@knIb@lINEmb@pErkINb@strE+d@","VL"
"fv600386","vrE+hE+tblE+hE+t","VL"
"fv600386","bEk@tEnz@nErv@hEb@OnG@lE+k","VL"
"fv600386","sAmboGardzbE+mAlp@rtY+smuts@nwAxt@ObgodomoG@vErd@rspel@","VL"
"fv600386","darzA+zElfsxenoG@mblIkdiskysimoG@ov@rb@stan","VL"
"fv600386","nitfor@tEN@wortplE+t@w@","VL"
"fv600386","wElvord@Apsolyt@vrE+hE+tvAnd@v@rbeldIN","VL"
"fv600386","Erfx@nam@zA+IkwIl@zEG@jYlikYn@InpAk@","VL"
"fv600388","Envord@twed@kernOGmarInd@G@sxid@nIs@d@hel@rItInpArE+sbIn@d@myr@vAnpArE+s","VL"
"fv600388","w@zE+nOmtweyrv@rtrOk@rE+k@l@klat@stArtdAtkOmtOmdAt@tok@n@helkOrt@rItIs","VL"
"fv600388","aNkOmsttYs@nzE@vE+fEnzEszoAlsx@wonl@k","VL"
"fv600388","trAdiSOnelwOrd@wAt@GrApj@zY+tx@haltwOrtwAt@G@bAb@ltEnzovort","VL"
"fv600388","w@zaG@lEnsArmstrONEnerstImAn@wElmAJE~mEt@nGrot@lANhar@G@prY+kOprE+d@wAt@SowGev@pozer@vord@fOtoGraf@","VL"
"fv600388","vAndaxdYs@d@SA~nzelize","VL"
"fv600388","latst@rIt","VL"
"fv600388","EdimErksmigElIndurajnEnbErnarinodimOxt@stArt@Obd@erst@rE+","VL"
"fv600388","h@twAs@sOmz@NG@hAr@wArwAnthelwAtvAlpArtE+@n@nG@drYmOmnastdivE+fA+d@G@turwInarst@kom@EnOm@nGlImpOpt@vAN@vAnd@Grot@vAn@twilrEn@","VL"
"fv600388","tIzAl@malred@l@kxutAfx@lop@InElkx@vAlzOnd@rsxad@vord@driGrot@nIndurajninoEn@EdimErks","VL"
"fv600388","EnnykYn@d@Ext@prOfsd@rdYsanb@GIn@zAxj@zankAlmpj@zan@n@lANzam@anlop","VL"
"fv600388","oknOxmEld@dAt@tOmstelsd@latst@bElgis@wInarwAsObd@SA~nzelize","VL"
"fv600388","dAtwAstwejarG@led@","VL"
"fv600388","EntinjarG@led@nIz@tAldAtjohAnmysewhirwOn","VL"
"fv600388","@tjarnadinwOnE+h@tkAmpijunsxApfAnzyrixz@nerst@wer@ldbek@rkurs","VL"
"fv600388","mysewEnstelzd@latst@wInars","VL"
"fv600388","w@kE+k@nY+tOfw@wer@mbElxhirkrE+G@","VL"
"fv600388","tsAlhelmujl@kxanwAntwarsxE+nl@kwOrt@tenvAnd@sprInt@rsEndarzIt@d@bElG@d@turzIt@vorlop@xnidbE+","VL"
"fv600388","@tp@l@tOnwAthAtyG@dAxtnOxAl@malsam@nrYst@xrE+d@ntIksxAtvE+v@ntwInt@xkilomet@rpEryrm@sxinmInd@r","VL"
"fv600388","madAtf@rAnd@rtstrAksnOxwEl","VL"
"fv600420","@nv@rslAxfAnlykfAnlAN@hov@","VL"
"fv600420","@nOnzek@r@itAljans@defEnsilitf@rvOlG@zd@klE+nst@mAnOp@tfEltokAnmEt@thoftx@lE+kmak@","VL"
"fv600420","d@G@vrezd@spItssykyrlitwE+n@xsin","VL"
"fv600420","InteG@ndelinzaGiEnd@ING@kom@ndElpjE:rohAd@n@rdriOfsElfsvirenvANkYn@mak@","VL"
"fv600420","wunzdAxspel@d@rod@dY+v@lsteG@nitalij@","VL"
"fv600420","lykfAnlAN@hov@","VL"
"fv600420","InArn@mIz@tsnElrExtAltuG@pAstOpfE+fArEstAnt@divord@wEtstrE+twar@Opx@pAkt","VL"
"fv600420","d@pArkEtmAGistratxAvd@vE+v@mbut@","VL"
"fv600420","nOGInArn@md@polisiAl@vlAG@Ensimbol@v@rwE+d@rtfAnd@EkstremrExs@tYrks@GrE+z@wOlv@","VL"
"fv600425","mEtenwErtiG@promovertfAnkolonEltOtlY+t@nAntxen@ral","VL"
"fv600425","d@vir@ndErt@xjar@G@bASArAsAtIzokx@nOminertford@OpfOlGINvAnz@nvad@r","VL"
"fv600425","dAtwOrtwElIxt@nfOrmAlitE+t","VL"
"fv600425","zolANIzd@erst@vis@prezidEntnOxInt@rImprezidEnt","VL"
"fv600425","stetsmerpolitisib@vEst@G@hYnanwez@xE+dbE+d@b@Graf@nIsfAnd@siris@prezidEntAsAt","VL"
"fv600425","d@rYsis@pArl@mEntsforzIt@rv@rteG@word@xtprezidEntputin","VL"
"fv600425","d@kOmstfAnd@pAlEstE+ns@prezidEntArAfAtIzistoris","VL"
